Date,Close,Open,High,Low,Change
2010-06-02,6.8298,6.8303,6.8303,6.8298,0.0002
2010-06-03,6.8284,6.8284,6.8321,6.8274,-0.0002
2010-06-04,6.8287,6.8276,6.8301,6.8261,0.0
2010-06-07,6.8323,6.8281,6.8323,6.8276,0.0005
2010-06-08,6.8294,6.83,6.8323,6.8279,-0.0004
2010-06-09,6.8285,6.8288,6.8308,6.8275,-0.0001
2010-06-10,6.8307,6.8277,6.8312,6.8262,0.0003
2010-06-11,6.8323,6.831,6.8331,6.8277,0.0002
2010-06-14,6.8333,6.832,6.8333,6.832,0.0001
2010-06-15,6.8333,6.832,6.8333,6.832,0.0
2010-06-16,6.8333,6.832,6.8333,6.832,0.0
2010-06-17,6.8293,6.8325,6.8325,6.8277,-0.0006
2010-06-18,6.8272,6.8296,6.8306,6.826,-0.0003
2010-06-21,6.7971,6.8262,6.8287,6.7957,-0.0044
2010-06-22,6.8133,6.7961,6.8229,6.7921,0.0024
2010-06-23,6.8121,6.8102,6.8134,6.8072,-0.0002
2010-06-24,6.7996,6.8095,6.8149,6.7985,-0.0018
2010-06-25,6.7921,6.8002,6.7972,6.7862,-0.0011
2010-06-28,6.7965,6.79,6.7965,6.789,0.0006
2010-06-29,6.7979,6.7936,6.8,6.7932,0.0002
2010-06-30,6.7817,6.7957,6.7979,6.7797,-0.0024
2010-07-01,6.781,6.7807,6.7837,6.78,-0.0001
2010-07-02,6.7716,6.7807,6.7816,6.7695,-0.0014000000000000002
2010-07-05,6.7758,6.7696,6.7761,6.7673,0.0006
2010-07-06,6.7805,6.7739,6.7809,6.7729,0.0007000000000000001
2010-07-07,6.7774,6.7789,6.7805,6.7742,-0.0005
2010-07-08,6.7763,6.7763,6.7788,6.7745,-0.0002
2010-07-09,6.7729,6.7763,6.7769,6.7706,-0.0005
2010-07-12,6.771,6.7716,6.7756,6.7701,-0.0003
2010-07-13,6.7722,6.7707,6.7784,6.7707,0.0002
2010-07-14,6.7716,6.7727,6.776,6.7716,-0.0001
2010-07-15,6.7781,6.7742,6.7781,6.7717,0.001
2010-07-16,6.7752,6.7767,6.7776,6.7716,-0.0004
2010-07-19,6.7782,6.7732,6.7827,6.7732,0.0004
2010-07-20,6.7783,6.7772,6.7819,6.7753,0.0
2010-07-21,6.777,6.7771,6.7801,6.7752,-0.0002
2010-07-22,6.7797,6.7758,6.7826,6.7758,0.0004
2010-07-23,6.7804,6.778,6.7804,6.7752,0.0001
2010-07-26,6.7791,6.7789,6.7814,6.7767,-0.0002
2010-07-27,6.7783,6.7785,6.7806,6.7732,-0.0001
2010-07-28,6.7782,6.7773,6.7812,6.7758,-0.0
2010-07-29,6.7763,6.7768,6.7799,6.7735,-0.0003
2010-07-30,6.774,6.7758,6.7758,6.7701,-0.0003
2010-08-02,6.7743,6.7737,6.7753,6.7692,0.0
2010-08-03,6.7733,6.774,6.7756,6.7693,-0.0001
2010-08-04,6.7725,6.7725,6.7755,6.771,-0.0001
2010-08-05,6.7715,6.7715,6.7771,6.77,-0.0001
2010-08-06,6.7683,6.7708,6.7728,6.7662,-0.0005
2010-08-09,6.7674,6.7679,6.7684,6.7632,-0.0001
2010-08-10,6.7722,6.7662,6.7753,6.7662,0.0007000000000000001
2010-08-11,6.7749,6.7711,6.7755,6.7711,0.0004
2010-08-12,6.7848,6.7735,6.7935,6.7732,0.0015
2010-08-13,6.7961,6.7865,6.8005,6.7865,0.0017000000000000001
2010-08-16,6.8041,6.7948,6.8072,6.7934,0.0012
2010-08-17,6.7923,6.8018,6.8041,6.7908,-0.0017000000000000001
2010-08-18,6.7919,6.7913,6.7937,6.7864,-0.0001
2010-08-19,6.7899,6.7897,6.7925,6.7866,-0.0003
2010-08-20,6.7908,6.7898,6.7912,6.7867,0.0001
2010-08-23,6.8,6.789,6.8003,6.789,0.0014000000000000002
2010-08-24,6.7969,6.7983,6.8013,6.7957,-0.0005
2010-08-25,6.7996,6.7961,6.8003,6.7941,0.0004
2010-08-26,6.7999,6.797,6.8026,6.7961,0.0
2010-08-27,6.798,6.7988,6.8012,6.7958,-0.0003
2010-08-30,6.803,6.7965,6.806,6.7965,0.0007000000000000001
2010-08-31,6.8075,6.8026,6.812,6.8026,0.0007000000000000001
2010-09-01,6.8109,6.8077,6.8132,6.8047,0.0005
2010-09-02,6.8077,6.8082,6.8182,6.7992,-0.0005
2010-09-03,6.8014,6.8056,6.8071,6.7992,-0.0009
2010-09-06,6.7873,6.8015,6.8015,6.7836,-0.0021
2010-09-07,6.7914,6.7873,6.7925,6.7806,0.0006
2010-09-08,6.7942,6.7887,6.7982,6.7887,0.0004
2010-09-09,6.7828,6.7938,6.7947,6.7805,-0.0017000000000000001
2010-09-10,6.7697,6.782,6.7833,6.7631,-0.0019
2010-09-13,6.76,6.7681,6.7681,6.7552,-0.0014000000000000002
2010-09-14,6.744,6.7605,6.7605,6.743,-0.0024
2010-09-15,6.739,6.7465,6.7473,6.731,-0.0007000000000000001
2010-09-16,6.725,6.7405,6.7405,6.724,-0.0021
2010-09-17,6.7241,6.7256,6.7316,6.7191,-0.0001
2010-09-20,6.714,6.7234,6.7258,6.7088,-0.0015
2010-09-21,6.7066,6.7132,6.7132,6.6986,-0.0011
2010-09-22,6.704,6.705,6.705,6.704,-0.0004
2010-09-23,6.7066,6.7038,6.7066,6.7038,0.0004
2010-09-24,6.704,6.705,6.705,6.704,-0.0004
2010-09-27,6.6917,6.7042,6.7067,6.6864,-0.0018
2010-09-28,6.6929,6.6915,6.6981,6.6911,0.0002
2010-09-29,6.6874,6.6905,6.6936,6.6826,-0.0008
2010-09-30,6.6917,6.6862,6.6952,6.6827,0.0006
2010-10-01,6.69,6.69,6.69,6.69,-0.0003
2010-10-04,6.6913,6.6895,6.6913,6.6895,0.0002
2010-10-05,6.6919,6.6907,6.6919,6.6907,0.0001
2010-10-06,6.6918,6.692,6.692,6.6918,-0.0
2010-10-07,6.6918,6.691,6.6923,6.691,0.0
