Date,Open,High,Low,Close,Volume,Change
2010-06-07,16429,16597,16135,16307,0,-0.03935198821796759
2010-06-08,16303,16846,16179,16683,0,0.023057582633225104
2010-06-09,16717,17010,16425,16933,0,0.014985314391895876
2010-06-10,17177,17219,16968,17142,0,0.012342762652808092
2010-06-11,17468,17719,17176,17393,0,0.014642398786606003
2010-06-14,17512,17765,17260,17603,0,0.012073822802276757
2010-06-15,17639,17848,17429,17645,0,0.002385956939157996
2010-06-16,17721,17805,17387,17561,0,-0.0047605553981298065
2010-06-17,17639,18182,17639,17728,0,0.009509709014293044
2010-06-18,17847,18014,17387,17603,0,-0.007050992779783383
2010-06-21,18059,18352,17768,18272,0,0.03800488553087544
2010-06-22,18562,18769,17935,18272,0,0.0
2010-06-23,18018,18227,17684,18230,0,-0.0022985989492119163
2010-06-24,18352,18436,18059,18272,0,0.0023038946791003045
2010-06-25,18056,18308,17933,18146,0,-0.006895796847635749
2010-06-28,18180,18223,17597,17603,0,-0.029923950181858228
2010-06-29,17681,17847,17012,17018,0,-0.03323297165255923
2010-06-30,16719,17345,16635,17310,0,0.017158302973322437
2010-07-01,17176,17384,16800,17268,0,-0.002426343154246058
2010-07-02,17343,17636,17052,17268,0,0.0
2010-07-05,17260,17469,17010,17352,0,0.004864489228630919
2010-07-06,17304,17386,17012,17310,0,-0.0024204702627939056
2010-07-07,17221,17262,16803,17060,0,-0.01444251877527436
2010-07-08,17177,17219,16968,17185,0,0.0073270808909731144
2010-07-09,17260,17469,16968,17352,0,0.00971777713121913
2010-07-12,17305,17471,17055,17060,0,-0.01682803135085298
2010-07-13,17177,17637,17092,17435,0,0.02198124267291912
2010-07-14,17554,17637,17011,17185,0,-0.014338973329509619
2010-07-15,17219,17427,17053,17142,0,-0.0025021821355833973
2010-07-16,17138,17304,16926,17310,0,0.00980049002450123
2010-07-19,16972,17223,16722,16725,0,-0.03379549393414216
2010-07-20,16803,16888,16512,16598,0,-0.007593423019432
2010-07-21,16679,16805,16513,16642,0,0.0026509217978070154
2010-07-22,16593,16633,15546,15720,0,-0.05540199495252973
2010-07-23,15964,16005,15461,15679,0,-0.002608142493638721
2010-07-26,15760,16263,15719,16265,0,0.0373748325786083
2010-07-27,16343,16386,16009,16055,0,-0.012911158930218214
2010-07-28,16552,16636,16177,16180,0,0.007785736530675713
2010-07-29,16263,16346,15928,16265,0,0.005253399258343672
2010-07-30,16177,16262,15841,16097,0,-0.01032892714417466
2010-08-02,16050,16302,15883,16055,0,-0.0026091818351245966
2010-08-03,16050,16134,15801,16139,0,0.00523201494861425
2010-08-04,16218,16469,16010,16307,0,0.010409566887663368
2010-08-05,16213,16925,16213,16933,0,0.038388422149996826
2010-08-06,16969,17261,16760,17227,0,0.01736254650682101
2010-08-09,17387,17470,17011,17227,0,0.0
2010-08-10,17261,17345,16843,16892,0,-0.019446218145933725
2010-08-11,16759,17469,16718,17142,0,0.014799905280606263
2010-08-12,16803,17055,16552,16598,0,-0.031734920079337314
2010-08-13,16717,17053,16593,16933,0,0.020183154596939312
2010-08-16,16805,16929,16346,16432,0,-0.02958719659835829
2010-08-17,16387,16846,16346,16725,0,0.01783106134371959
2010-08-18,16763,17014,16597,16683,0,-0.0025112107623318503
2010-08-19,16760,17053,16718,16808,0,0.007492657195947938
2010-08-20,16722,16972,16679,16725,0,-0.004938124702522639
2010-08-23,16928,17056,16094,16097,0,-0.037548579970104634
2010-08-24,16217,16386,16051,16223,0,0.007827545505373568
2010-08-25,16178,16845,15968,16557,0,0.020588053997411038
2010-08-26,16552,17346,16552,17060,0,0.030379899740291094
2010-08-27,17136,17219,16801,17142,0,0.0048065650644784075
2010-08-30,17427,17469,16925,16933,0,-0.012192276280480696
2010-08-31,16885,17259,16674,17268,0,0.019783854012874302
2010-09-01,17344,17805,17177,17435,0,0.009671067871206862
2010-09-02,17600,17892,17307,17770,0,0.019214224261542956
2010-09-03,17889,18224,17848,18146,0,0.0211592571750141
2010-09-06,18352,18436,18184,18356,0,0.011572798412873286
2010-09-07,18392,18392,17722,17853,0,-0.02740248420135105
2010-09-08,17684,18103,17641,18105,0,0.014115274743740525
2010-09-09,18224,18308,17848,18146,0,0.0022645677989505675
2010-09-10,18017,18017,17682,17979,0,-0.00920313016642782
2010-09-13,17888,17972,17554,17561,0,-0.023249346459758624
2010-09-14,17515,17891,17472,17896,0,0.01907636239394117
2010-09-15,17805,17972,17428,17561,0,-0.01871926687527936
2010-09-16,17595,17804,17386,17393,0,-0.009566653379648127
2010-09-17,17552,17595,17176,17393,0,0.0
2010-09-20,17554,17597,17178,17227,0,-0.009544069453228277
2010-09-24,17302,17468,17176,17393,0,0.00963603645440303
2010-09-27,17556,18476,17388,18396,0,0.057666877479445766
2010-09-28,18351,18519,18058,18482,0,0.0046749293324634955
2010-09-29,18517,18643,18016,18020,0,-0.024997294665079495
2010-09-30,18013,18723,17763,18689,0,0.03712541620421761
2010-10-01,18645,18936,18310,18482,0,-0.011076034030713222
2010-10-04,18683,19060,18600,18816,0,0.018071637268693763
2010-10-05,18848,19099,18681,18857,0,0.0021789965986394044
2010-10-06,19018,19394,18894,19150,0,0.015537996499973561
2010-10-07,19269,19437,19060,19275,0,0.006527415143603221
2010-10-08,19313,19773,19228,19485,0,0.010894941634241206
2010-10-11,19646,19687,18894,18899,0,-0.030074416217603317
2010-10-12,19059,19101,18473,18982,0,0.004391766760146076
2010-10-13,19017,19352,18893,19024,0,0.0022126224844589704
2010-10-14,18975,19142,18642,18775,0,-0.013088730025231254
2010-10-15,18850,19142,18683,18775,0,0.0
2010-10-18,18932,19309,18893,19066,0,0.015499334221038552
2010-10-19,19186,19310,18725,18731,0,-0.01757054442463024
2010-10-20,18640,19058,18557,18857,0,0.006726816507394151
2010-10-21,18974,19184,18681,18689,0,-0.008909158402715223
2010-10-22,18682,19224,18682,19234,0,0.029161538873133885
2010-10-25,19271,19480,19102,19192,0,-0.0021836331496308814
2010-10-26,19185,19478,19016,19234,0,0.0021884118382660134
2010-10-27,19312,19731,19188,19736,0,0.026099615264635556
2010-10-28,19853,21193,19853,20739,0,0.050820835022294286
2010-10-29,20940,21108,20564,20822,0,0.004002121606634823
2010-11-01,21111,21443,20900,21158,0,0.016136778407453756
2010-11-02,21740,21908,21197,21367,0,0.009878060308157632
2010-11-03,21738,22741,21569,22204,0,0.03917255581036172
2010-11-04,22571,24999,22531,24210,0,0.0903440821473609
2010-11-05,24245,24411,23450,24125,0,-0.0035109458901280144
2010-11-08,24157,24746,23826,24084,0,-0.001699481865285013
2010-11-09,24077,24327,23702,24043,0,-0.0017023750207606492
2010-11-10,23957,25336,23957,24753,0,0.029530424655825005
2010-11-11,24787,24873,23954,24043,0,-0.02868339191209146
2010-11-12,24159,24830,23953,24293,0,0.010398036850642667
2010-11-15,24246,25250,24246,24962,0,0.02753879718437413
2010-11-16,25374,26378,24956,26259,0,0.051958977646021864
2010-11-17,26001,26628,25710,26259,0,0.0
2010-11-18,25877,26461,25750,26259,0,0.0
2010-11-19,26378,27591,26293,27261,0,0.038158345710042285
2010-11-22,27343,27552,25377,25423,0,-0.06742232493305456
2010-11-23,25710,25794,24372,25046,0,-0.014829091767297298
2010-11-24,24668,26256,24540,25423,0,0.015052303761079688
2010-11-25,25544,25712,25169,25423,0,0.0
2010-11-26,25544,25712,25169,25423,0,0.0
2010-11-29,25584,26923,25543,26761,0,0.052629508712582984
2010-11-30,27259,27552,26799,27054,0,0.010948768730615344
2010-12-01,27216,27508,26423,27430,0,0.013898129666592762
2010-12-02,27925,28636,27675,28183,0,0.027451695224206984
